danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0.74,0.766,6,-2.939,1,0.178,0.116,0.0,0.0406,0.807,170.531,7FDV5ELOJHCGLe52AnttEd
0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,09CtPGIpYB4BrO8qb1RGsF
0.764,0.803,10,-8.697,0,0.164,0.00246,0.0184,0.386,0.423,92.063,6M3lqzrkzSKrBehkeAxTXc
0.253,0.484,7,-5.976,1,0.0333,0.91,0.00327,0.0988,0.402,104.056,279JFuiq31EOxWAxJeWQi9
0.752,0.364,7,-10.375,1,0.277,0.0177,0.000306,0.278,0.534,89.842,1EhvYd5e7vkoN3udEN1Vyl
0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,3XKIUb7HzIF1Vu9usunMzc
0.509,0.689,1,-4.929,0,0.102,0.0209,0.0,0.301,0.297,170.087,4n7jnSxVLd8QioibtTDBDq
0.469,0.469,5,-9.119,1,0.0269,0.243,0.0,0.111,0.357,141.924,0uul4WzezEwTELfdrWuh3d
0.228,0.492,4,-8.145,1,0.0346,0.3,0.0,0.13,0.223,128.083,7lCq5eyuHf0N83JCbIyDNv
0.734,0.864,2,-6.119,1,0.303,0.022,9.85e-06,0.246,0.47,105.932,5fpizYGbi5IQoEraj6FP0R
0.818,0.653,1,-8.396,1,0.204,0.0335,5.46e-06,0.22,0.533,99.931,31bf9SEOppLU6lQ85d8om6
0.802,0.566,11,-9.816,0,0.145,0.539,4.09e-06,0.134,0.153,140.099,3AaHVL2PTTN8AAbA48WMo8
0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,7lQ8MOhq6IN2w8EYcFNSUk
0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,561jH07mF1jHuk7KlaeF0s
0.862,0.479,7,-9.199,1,0.0645,0.0523,0.00126,0.589,0.924,109.877,3QHONiXGMGU3z68mQInncF
0.835,0.707,8,-5.074,1,0.0598,0.0219,2.19e-05,0.108,0.919,93.955,2mKouqwAIdQnMP43zxR89r
0.586,0.617,10,-5.169,1,0.0357,0.0418,0.000615,0.079,0.0924,94.956,5K69DyfCOQnfIMRqFFm2Ag
0.493,0.636,1,-7.408,1,0.0256,0.0629,2.49e-06,0.0921,0.279,79.419,78PKCefXwDLbl4FVO1Pjzh
0.62,0.446,1,-14.451,0,0.0347,0.589,0.0299,0.0727,0.868,88.591,3PzsbWSQdLCKDLxn7YZfkM
0.55,0.917,0,-3.159,1,0.0638,0.00428,0.0,0.197,0.601,126.115,6TfBA04WJ3X1d1wXhaCFVT
0.732,0.573,4,-8.872,1,0.0794,0.378,0.00012,0.109,0.596,90.023,4MADCd8iX5wuh7LCnJtEwS
0.614,0.543,5,-7.178,1,0.374,0.00776,3.28e-05,0.383,0.485,178.422,1AHfovSnGPVYKaahRtA0U6
0.5,0.98,0,-1.429,1,0.047,0.163,0.0,0.364,0.465,90.711,0t9kCmxoIlfgsDOmxMyk09
0.636,0.845,1,-7.759,0,0.0408,0.00255,0.316,0.0931,0.179,133.412,0iED12oFeFL6IVafoCEraG
0.716,0.698,7,-6.456,1,0.239,0.102,0.0,0.0728,0.569,176.012,61BqwgSRTyWH9M4uPjsC3B
0.645,0.417,4,-7.022,1,0.029,0.543,0.0,0.0982,0.256,77.054,00hVU6kDP67JHurfwG2dtq
0.691,0.7,5,-6.171,0,0.0837,0.145,1.05e-05,0.46,0.648,97.267,6kFpkcHtvKZCtKaBZOUwLk
0.311,0.209,11,-20.169,1,0.0414,0.782,0.000993,0.139,0.422,127.78,3Pm0GbwAVDYu4BNPQrQPfw
0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,4mn2kNTqiGLwaUR8JdhJ1l
0.477,0.535,9,-4.086,1,0.0299,0.0499,0.00251,0.168,0.143,116.726,6Eo2pS8rX1wQIAgi7XGBfh
0.741,0.702,7,-7.722,1,0.189,0.0278,0.0,0.094,0.736,173.878,6OmIDgADWwbBCuGNnd9jDj
0.611,0.47,4,-9.135,1,0.0356,0.585,0.0,0.58,0.97,85.527,1wfzOH54LylpiG8hAOjKcS
0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,0qxYx4F3vm1AOnfux6dDxP
0.89,0.672,7,-5.532,1,0.0621,0.707,0.000604,0.177,0.598,126.036,66U0ASk1VHZsqIkpMjKX3B
0.883,0.817,0,-5.414,1,0.235,0.601,0.00449,0.11,0.595,128.078,5MhsZlmKJG6X5kTHkdwC4B
0.452,0.928,2,-3.133,1,0.079,0.000706,0.000637,0.226,0.6,129.188,7rSERmjAT38lC5QhJ8hnQc
0.653,0.429,11,-10.473,1,0.0297,0.0849,0.00371,0.0693,0.627,146.073,7H3ojI1BsVy0dEJENqMt1k
